nome,id,participacoes,comandos
ID: 406940720033824778>,406940720033824778,0,3
ID: 438700906616455179>,438700906616455179,0,3
ID: 233987539264995328> <,233987539264995328,0,2
ID: 899237096747855913>,899237096747855913,0,1
ID: 406940720033824778> <,406940720033824778,1,5
ID: 820028781187301387>,820028781187301387,0,3
ID: 646806714628440084>,646806714628440084,0,1
ID: 400818494083432448>,400818494083432448,0,2
ID: 438700906616455179>  <,438700906616455179,0,1
ID: 908162094938062869> <,908162094938062869,0,2
ID: 899237096747855913> <,899237096747855913,0,1
"ID: 438700906616455179>
<",438700906616455179,1,0
"ID: 301949243038498817>
<",301949243038498817,1,0
"ID: 899237096747855913>

Vitoria: 93
Derrotas: 57",899237096747855913,1,0
ID: 980195688493252608> <,980195688493252608,0,2
"ID: 980195688493252608> 
<",980195688493252608,4,0
"ID: 438700906616455179> 
<",438700906616455179,4,0
"ID: 522183704811012097> 

<",522183704811012097,1,0
"ID: 406940720033824778> 
vitoria: 92
derrotas: 56",406940720033824778,1,0
ID: 980195688493252608>,980195688493252608,0,3
"ID: 980195688493252608>
<",980195688493252608,1,0
"ID: 406940720033824778> 
<",406940720033824778,3,0
"ID: 299369929281503233> 
<",299369929281503233,1,0
"ID: 522183704811012097> 
<",522183704811012097,5,0
"ID: 899237096747855913> 
<",899237096747855913,4,0
"ID: 301949243038498817> 

vitoria: 92
derrotas: 55",301949243038498817,1,0
ID: 299369929281503233>,299369929281503233,0,1
"ID: 521702238763352084> 

vitoria: 92
derrotas: 54",521702238763352084,1,0
ID: 813233194261545031> <,813233194261545031,0,2
"ID: 813233194261545031> 
<",813233194261545031,3,0
"ID: 674664433695326229> 
<",674664433695326229,1,0
"ID: 646806714628440084> 
<",646806714628440084,2,0
"ID: 980195688493252608> 

vitoria: 91
derrotas: 54",980195688493252608,1,0
"ID: 908162094938062869> 
<",908162094938062869,3,0
"ID: 820028781187301387> 
<",820028781187301387,1,0
"ID: 1124541783024615495> 
<",1124541783024615495,1,0
ID: 908162094938062869>,908162094938062869,0,1
"ID: 438700906616455179>
 <",438700906616455179,1,0
"ID: 1152806861918195724> 
<",1152806861918195724,1,0
"ID: 299369929281503233> 
vitoria: 90
derrotas: 53",299369929281503233,1,0
"ID: 908162094938062869> 

vitoria: 89
derrotas: 53",908162094938062869,1,0
"ID: 908162094938062869> 

vitoria: 89
derrotas: 52",908162094938062869,1,0
ID: 522183704811012097>,522183704811012097,0,1
"ID: 929372718325968896> 
<",929372718325968896,1,0
"ID: 528321564903604235> 
<",528321564903604235,1,0
"ID: 717190889122037760> 
<",717190889122037760,1,0
"ID: 901995180821987378> 
<",901995180821987378,1,0
"ID: 980195688493252608> 

vitoria: 87
derrotas: 52",980195688493252608,1,0
ID: 813233194261545031>,813233194261545031,0,2
ID: 646806714628440084> <,646806714628440084,0,1